State/Area,Year,Month,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
North Dakota,1996,4,346299,71.8,335228,69.5,11071,3.2
Ohio,1996,4,5651928,66.4,5368332,63.1,283596,5.0
Oklahoma,1996,4,1578317,63.8,1513898,61.2,64419,4.1
Oregon,1996,4,1707636,68.6,1613369,64.8,94267,5.5
Pennsylvania,1996,4,5958858,63.4,5619814,59.8,339044,5.7
Rhode Island,1996,4,516025,65.5,489148,62.1,26877,5.2
South Carolina,1996,4,1872302,65.9,1766227,62.2,106075,5.7
South Dakota,1996,4,389534,71.6,376358,69.2,13176,3.4
Tennessee,1996,4,2748736,66.5,2608946,63.1,139790,5.1
Texas,1996,4,9683657,69.1,9110433,65.0,573224,5.9
Utah,1996,4,1035068,71.7,1000018,69.2,35050,3.4
Vermont,1996,4,324426,71.8,310699,68.8,13727,4.2
Virginia,1996,4,3427198,68.0,3278348,65.1,148850,4.3
Washington,1996,4,2877012,68.9,2700658,64.7,176354,6.1
West Virginia,1996,4,790143,55.0,728385,50.7,61758,7.8
Wisconsin,1996,4,2917583,74.0,2809600,71.2,107983,3.7
Wyoming,1996,4,254529,70.4,241935,66.9,12594,4.9
Alabama,1996,5,2082905,63.5,1973363,60.1,109542,5.3
Alaska,1996,5,308239,73.3,285260,67.9,22979,7.5
Arizona,1996,5,2282099,66.2,2156306,62.5,125793,5.5
Arkansas,1996,5,1236131,63.9,1171946,60.5,64185,5.2
California,1996,5,15344340,65.6,14194736,60.7,1149604,7.5
Los Angeles County,1996,5,4310533,64.5,3948282,59.1,362251,8.4
Colorado,1996,5,2160270,73.0,2066885,69.8,93385,4.3
Connecticut,1996,5,1746402,68.3,1655595,64.8,90807,5.2
Delaware,1996,5,388349,68.9,369602,65.5,18747,4.8
District of Columbia,1996,5,290445,64.1,265406,58.6,25039,8.6
Florida,1996,5,7150108,62.0,6769160,58.7,380948,5.3
Georgia,1996,5,3783176,67.9,3611147,64.8,172029,4.5
Hawaii,1996,5,593878,67.9,558635,63.8,35243,5.9
Idaho,1996,5,613353,70.0,579927,66.2,33426,5.4
Illinois,1996,5,6245968,68.7,5907179,65.0,338789,5.4
Indiana,1996,5,3102652,69.4,2973827,66.5,128825,4.2
Iowa,1996,5,1610113,73.5,1551362,70.8,58751,3.6
Kansas,1996,5,1365542,70.5,1306688,67.5,58854,4.3
Kentucky,1996,5,1861286,62.4,1762359,59.1,98927,5.3
Louisiana,1996,5,1984763,61.7,1855073,57.7,129690,6.5
Maine,1996,5,652988,67.9,617679,64.3,35309,5.4
Maryland,1996,5,2740564,71.1,2604135,67.6,136429,5.0
Massachusetts,1996,5,3225113,67.5,3074004,64.4,151109,4.7
Michigan,1996,5,4884088,66.4,4640745,63.1,243343,5.0
Minnesota,1996,5,2663353,75.4,2559287,72.4,104066,3.9
Mississippi,1996,5,1261634,62.4,1184693,58.6,76941,6.1
Missouri,1996,5,2889310,70.7,2751947,67.4,137363,4.8
Montana,1996,5,447884,67.2,422748,63.4,25136,5.6
Nebraska,1996,5,914012,73.4,889005,71.4,25007,2.7
Nevada,1996,5,887225,69.5,841685,65.9,45540,5.1
New Hampshire,1996,5,633671,71.0,609544,68.3,24127,3.8
New Jersey,1996,5,4166169,66.8,3906831,62.6,259338,6.2
New Mexico,1996,5,812089,63.5,750061,58.7,62028,7.6
New York,1996,5,8764348,61.6,8210941,57.7,553407,6.3
New York city,1996,5,3384286,56.8,3090220,51.8,294066,8.7
North Carolina,1996,5,3868849,67.8,3696717,64.8,172132,4.4
North Dakota,1996,5,347055,71.9,336054,69.6,11001,3.2
Ohio,1996,5,5664034,66.5,5380741,63.2,283293,5.0
Oklahoma,1996,5,1581879,63.8,1518871,61.3,63008,4.0
Oregon,1996,5,1711412,68.6,1616462,64.8,94950,5.5
Pennsylvania,1996,5,5971366,63.5,5639387,60.0,331979,5.6
Rhode Island,1996,5,516797,65.5,490510,62.2,26287,5.1
South Carolina,1996,5,1877387,66.0,1769715,62.2,107672,5.7
South Dakota,1996,5,390133,71.6,377042,69.2,13091,3.4
Tennessee,1996,5,2753341,66.5,2614483,63.2,138858,5.0
Texas,1996,5,9694535,69.1,9131506,65.1,563029,5.8
Utah,1996,5,1037696,71.7,1002734,69.3,34962,3.4
Vermont,1996,5,324904,71.7,311055,68.7,13849,4.3
Virginia,1996,5,3432141,68.1,3282881,65.1,149260,4.3
Washington,1996,5,2885468,69.0,2710330,64.8,175138,6.1
West Virginia,1996,5,790577,55.0,730035,50.8,60542,7.7
Wisconsin,1996,5,2922075,74.0,2815259,71.3,106816,3.7
Wyoming,1996,5,254808,70.3,242149,66.8,12659,5.0
Alabama,1996,6,2088801,63.6,1980603,60.3,108198,5.2
Alaska,1996,6,308734,73.5,286038,68.1,22696,7.4
Arizona,1996,6,2287464,66.1,2159934,62.5,127530,5.6
Arkansas,1996,6,1238099,63.9,1173880,60.6,64219,5.2
California,1996,6,15378518,65.7,14246367,60.8,1132151,7.4
Los Angeles County,1996,6,4318305,64.6,3961681,59.3,356624,8.3
Colorado,1996,6,2159571,72.8,2066571,69.7,93000,4.3
Connecticut,1996,6,1747908,68.3,1657442,64.8,90466,5.2
Delaware,1996,6,389078,68.9,370256,65.5,18822,4.8
District of Columbia,1996,6,290012,63.9,265199,58.5,24813,8.6
Florida,1996,6,7166984,62.0,6788711,58.7,378273,5.3
Georgia,1996,6,3799143,68.0,3626867,65.0,172276,4.5
Hawaii,1996,6,594564,67.9,559683,63.9,34881,5.9
Idaho,1996,6,614870,70.0,581792,66.3,33078,5.4
Illinois,1996,6,6253741,68.7,5915743,65.0,337998,5.4
Indiana,1996,6,3102151,69.3,2976942,66.5,125209,4.0
Iowa,1996,6,1611398,73.5,1553039,70.9,58359,3.6
Kansas,1996,6,1367769,70.5,1308733,67.5,59036,4.3
Kentucky,1996,6,1866931,62.5,1769027,59.2,97904,5.2
Louisiana,1996,6,1988617,61.8,1860079,57.8,128538,6.5
Maine,1996,6,654414,68.0,619484,64.4,34930,5.3
Maryland,1996,6,2748132,71.2,2613416,67.7,134716,4.9
Massachusetts,1996,6,3233738,67.7,3085300,64.6,148438,4.6
Michigan,1996,6,4894836,66.5,4651696,63.2,243140,5.0
Minnesota,1996,6,2667212,75.4,2563681,72.5,103531,3.9
Mississippi,1996,6,1263788,62.4,1188016,58.7,75772,6.0
Missouri,1996,6,2895210,70.8,2757688,67.4,137522,4.7
Montana,1996,6,448493,67.2,423626,63.5,24867,5.5
Nebraska,1996,6,915331,73.5,890453,71.5,24878,2.7
Nevada,1996,6,892139,69.5,846796,66.0,45343,5.1
New Hampshire,1996,6,634742,71.0,610506,68.3,24236,3.8
New Jersey,1996,6,4178696,66.9,3922787,62.8,255909,6.1
New Mexico,1996,6,813414,63.5,751457,58.6,61957,7.6
New York,1996,6,8785657,61.7,8236441,57.9,549216,6.3
New York city,1996,6,3393778,56.9,3099141,52.0,294637,8.7
North Carolina,1996,6,3881392,67.9,3712115,65.0,169277,4.4
North Dakota,1996,6,347724,71.9,336837,69.6,10887,3.1
Ohio,1996,6,5673381,66.6,5390976,63.3,282405,5.0
Oklahoma,1996,6,1585357,63.9,1523725,61.4,61632,3.9
Oregon,1996,6,1714176,68.6,1619087,64.8,95089,5.5
Pennsylvania,1996,6,5983218,63.6,5658135,60.1,325083,5.4
Rhode Island,1996,6,517572,65.6,491716,62.3,25856,5.0
South Carolina,1996,6,1882857,66.1,1774094,62.3,108763,5.8
South Dakota,1996,6,390689,71.7,377757,69.3,12932,3.3
Tennessee,1996,6,2759318,66.5,2620964,63.2,138354,5.0
Texas,1996,6,9707126,69.1,9154959,65.1,552167,5.7
Utah,1996,6,1040462,71.7,1005647,69.3,34815,3.3
Vermont,1996,6,325352,71.8,311410,68.8,13942,4.3
Virginia,1996,6,3437543,68.1,3288238,65.1,149305,4.3
Washington,1996,6,2893260,69.1,2720076,64.9,173184,6.0
West Virginia,1996,6,790912,55.0,731470,50.9,59442,7.5
Wisconsin,1996,6,2924967,74.0,2819766,71.3,105201,3.6
Wyoming,1996,6,255079,70.3,242396,66.8,12683,5.0
Alabama,1996,7,2094676,63.7,1987805,60.5,106871,5.1
Alaska,1996,7,309136,73.4,286664,68.0,22472,7.3
Arizona,1996,7,2292487,66.1,2163604,62.4,128883,5.6
Arkansas,1996,7,1240051,63.9,1175855,60.6,64196,5.2
California,1996,7,15413793,65.8,14298555,61.0,1115238,7.2
Los Angeles County,1996,7,4327925,64.7,3977532,59.5,350393,8.1
Colorado,1996,7,2158069,72.6,2066257,69.5,91812,4.3
Connecticut,1996,7,1749691,68.4,1659456,64.9,90235,5.2
Delaware,1996,7,389661,68.8,370562,65.5,19099,4.9
District of Columbia,1996,7,289816,64.0,265325,58.6,24491,8.5
Florida,1996,7,7185019,62.0,6809786,58.8,375233,5.2
Georgia,1996,7,3815199,68.2,3642450,65.1,172749,4.5
Hawaii,1996,7,595248,67.8,560587,63.9,34661,5.8
Idaho,1996,7,616765,70.1,583952,66.4,32813,5.3
Illinois,1996,7,6257937,68.7,5922883,65.1,335054,5.4
Indiana,1996,7,3101086,69.2,2979735,66.5,121351,3.9
Iowa,1996,7,1612535,73.5,1554638,70.9,57897,3.6
Kansas,1996,7,1369822,70.6,1310864,67.5,58958,4.3
Kentucky,1996,7,1873575,62.7,1775948,59.4,97627,5.2
Louisiana,1996,7,1992597,61.9,1865013,57.9,127584,6.4
Maine,1996,7,655805,68.1,621347,64.5,34458,5.3
Maryland,1996,7,2755840,71.4,2622419,67.9,133421,4.8
Massachusetts,1996,7,3241652,67.8,3095626,64.7,146026,4.5
Michigan,1996,7,4904530,66.6,4662809,63.3,241721,4.9
Minnesota,1996,7,2670394,75.4,2567909,72.5,102485,3.8
Mississippi,1996,7,1265620,62.5,1191022,58.8,74598,5.9
Missouri,1996,7,2900097,70.9,2762797,67.5,137300,4.7
Montana,1996,7,449056,67.2,424476,63.5,24580,5.5
Nebraska,1996,7,916416,73.5,891731,71.5,24685,2.7
Nevada,1996,7,897098,69.6,851948,66.1,45150,5.0
New Hampshire,1996,7,636082,71.0,611817,68.3,24265,3.8
New Jersey,1996,7,4191350,67.1,3938556,63.0,252794,6.0
New Mexico,1996,7,814642,63.5,752859,58.6,61783,7.6
New York,1996,7,8805219,61.9,8261837,58.0,543382,6.2
New York city,1996,7,3402082,57.0,3107484,52.1,294598,8.7
North Carolina,1996,7,3892624,68.0,3725733,65.1,166891,4.3
North Dakota,1996,7,348244,72.0,337459,69.8,10785,3.1
Ohio,1996,7,5678388,66.6,5397360,63.3,281028,4.9
Oklahoma,1996,7,1588659,64.0,1527933,61.5,60726,3.8
Oregon,1996,7,1716492,68.6,1621352,64.8,95140,5.5
Pennsylvania,1996,7,5994307,63.7,5674695,60.3,319612,5.3
Rhode Island,1996,7,518482,65.7,492774,62.4,25708,5.0
South Carolina,1996,7,1888281,66.2,1779076,62.4,109205,5.8
South Dakota,1996,7,391175,71.6,378427,69.3,12748,3.3
Tennessee,1996,7,2766558,66.6,2627625,63.3,138933,5.0
Texas,1996,7,9723214,69.1,9180061,65.2,543153,5.6
Utah,1996,7,1043359,71.7,1008569,69.3,34790,3.3
Vermont,1996,7,325816,71.8,311791,68.7,14025,4.3
Virginia,1996,7,3442676,68.1,3293676,65.2,149000,4.3
Washington,1996,7,2900628,69.2,2729847,65.1,170781,5.9
West Virginia,1996,7,791251,55.0,732575,50.9,58676,7.4
Wisconsin,1996,7,2926717,74.0,2823380,71.4,103337,3.5
Wyoming,1996,7,255335,70.2,242651,66.7,12684,5.0
Alabama,1996,8,2100380,63.9,1994400,60.6,105980,5.0
Alaska,1996,8,309475,73.5,287120,68.1,22355,7.2
Arizona,1996,8,2297155,66.0,2167534,62.3,129621,5.6
Arkansas,1996,8,1241579,63.9,1177368,60.6,64211,5.2
California,1996,8,15450920,65.8,14349188,61.1,1101732,7.1
Los Angeles County,1996,8,4338323,64.8,3993586,59.7,344737,7.9
Colorado,1996,8,2156662,72.4,2066514,69.4,90148,4.2
Connecticut,1996,8,1751868,68.4,1661570,64.9,90298,5.2
Delaware,1996,8,390242,68.9,370725,65.5,19517,5.0
District of Columbia,1996,8,289856,64.0,265701,58.6,24155,8.3
Florida,1996,8,7204630,62.1,6831668,58.9,372962,5.2
Georgia,1996,8,3831441,68.3,3657316,65.2,174125,4.5
Hawaii,1996,8,596149,67.9,561464,63.9,34685,5.8
Idaho,1996,8,619133,70.2,586364,66.5,32769,5.3
Illinois,1996,8,6260158,68.7,5929616,65.1,330542,5.3
Indiana,1996,8,3099894,69.1,2982368,66.5,117526,3.8
Iowa,1996,8,1613494,73.5,1555973,70.9,57521,3.6
Kansas,1996,8,1371832,70.6,1313059,67.6,58773,4.3
Kentucky,1996,8,1881019,62.9,1782396,59.6,98623,5.2
Louisiana,1996,8,1996572,62.0,1869723,58.0,126849,6.4
Maine,1996,8,657153,68.2,623133,64.6,34020,5.2
Maryland,1996,8,2762682,71.5,2629958,68.1,132724,4.8
Massachusetts,1996,8,3248883,67.9,3104632,64.9,144251,4.4
Michigan,1996,8,4913165,66.7,4673292,63.4,239873,4.9
Minnesota,1996,8,2672626,75.3,2571408,72.5,101218,3.8
Mississippi,1996,8,1267133,62.5,1193441,58.8,73692,5.8
Missouri,1996,8,2904566,70.9,2767234,67.6,137332,4.7
Montana,1996,8,449595,67.3,425237,63.6,24358,5.4
Nebraska,1996,8,917253,73.5,892797,71.5,24456,2.7
Nevada,1996,8,902027,69.7,857042,66.2,44985,5.0
New Hampshire,1996,8,637579,71.1,613379,68.4,24200,3.8
New Jersey,1996,8,4203926,67.2,3953044,63.2,250882,6.0
New Mexico,1996,8,815732,63.5,754244,58.7,61488,7.5
New York,1996,8,8824631,62.0,8285611,58.2,539020,6.1
New York city,1996,8,3411220,57.1,3115419,52.2,295801,8.7
North Carolina,1996,8,3902519,68.0,3737821,65.2,164698,4.2
North Dakota,1996,8,348591,72.1,337849,69.8,10742,3.1
Ohio,1996,8,5679513,66.6,5399825,63.3,279688,4.9
Oklahoma,1996,8,1591889,64.0,1531251,61.6,60638,3.8
Oregon,1996,8,1718844,68.5,1623220,64.7,95624,5.6
Pennsylvania,1996,8,6004912,63.8,5688691,60.4,316221,5.3
Rhode Island,1996,8,519614,65.8,493721,62.5,25893,5.0
South Carolina,1996,8,1893717,66.3,1784529,62.5,109188,5.8
South Dakota,1996,8,391585,71.7,378970,69.4,12615,3.2
Tennessee,1996,8,2773772,66.7,2633091,63.3,140681,5.1
Texas,1996,8,9743203,69.1,9205783,65.3,537420,5.5
Utah,1996,8,1046331,71.7,1011392,69.3,34939,3.3
Vermont,1996,8,326301,71.9,312177,68.8,14124,4.3
Virginia,1996,8,3447091,68.1,3298486,65.2,148605,4.3
Washington,1996,8,2907610,69.2,2739193,65.2,168417,5.8
West Virginia,1996,8,791688,55.1,733309,51.0,58379,7.4
Wisconsin,1996,8,2927826,73.9,2826042,71.4,101784,3.5
Wyoming,1996,8,255591,70.3,242870,66.8,12721,5.0
Alabama,1996,9,2105533,64.0,1999611,60.8,105922,5.0
Alaska,1996,9,309764,73.5,287406,68.2,22358,7.2
Arizona,1996,9,2300511,65.9,2170843,62.2,129668,5.6
Arkansas,1996,9,1242165,63.9,1177866,60.6,64299,5.2
California,1996,9,15487870,65.9,14394854,61.2,1093016,7.1
Los Angeles County,1996,9,4348197,64.9,4007781,59.8,340416,7.8
Colorado,1996,9,2155858,72.2,2067518,69.2,88340,4.1
Connecticut,1996,9,1754095,68.5,1663398,64.9,90697,5.2
Delaware,1996,9,390829,68.9,370906,65.4,19923,5.1
District of Columbia,1996,9,289898,64.0,266018,58.8,23880,8.2
Florida,1996,9,7224607,62.1,6852347,58.9,372260,5.2
Georgia,1996,9,3846976,68.4,3670178,65.3,176798,4.6
Hawaii,1996,9,597251,67.9,562311,63.9,34940,5.9
Idaho,1996,9,621652,70.3,588718,66.6,32934,5.3
Illinois,1996,9,6260730,68.7,5935096,65.1,325634,5.2
Indiana,1996,9,3098452,69.0,2984655,66.5,113797,3.7
Iowa,1996,9,1613953,73.5,1556656,70.9,57297,3.6
Kansas,1996,9,1373726,70.7,1315044,67.6,58682,4.3
Kentucky,1996,9,1888306,63.1,1787476,59.7,100830,5.3
Louisiana,1996,9,1999644,62.0,1873493,58.1,126151,6.3
Maine,1996,9,658220,68.2,624451,64.7,33769,5.1
Maryland,1996,9,2767203,71.5,2634728,68.1,132475,4.8
Massachusetts,1996,9,3255704,68.0,3112392,65.0,143312,4.4
Michigan,1996,9,4919969,66.7,4681639,63.5,238330,4.8
Minnesota,1996,9,2673371,75.3,2573445,72.5,99926,3.7
Mississippi,1996,9,1268247,62.5,1194947,58.9,73300,5.8
Missouri,1996,9,2908771,70.9,2770774,67.6,137997,4.7
Montana,1996,9,449994,67.2,425754,63.6,24240,5.4
Nebraska,1996,9,917705,73.4,893429,71.5,24276,2.6
Nevada,1996,9,906675,69.7,861847,66.3,44828,4.9
New Hampshire,1996,9,639073,71.2,615016,68.5,24057,3.8
New Jersey,1996,9,4215628,67.3,3965071,63.3,250557,5.9
New Mexico,1996,9,816424,63.4,755401,58.7,61023,7.5
New York,1996,9,8844615,62.1,8305179,58.3,539436,6.1
New York city,1996,9,3422687,57.3,3122737,52.2,299950,8.8
North Carolina,1996,9,3910992,68.1,3748350,65.2,162642,4.2
North Dakota,1996,9,348722,71.9,337965,69.7,10757,3.1
Ohio,1996,9,5678114,66.5,5398669,63.3,279445,4.9
Oklahoma,1996,9,1594801,64.1,1533530,61.6,61271,3.8
Oregon,1996,9,1721096,68.5,1624451,64.7,96645,5.6
Pennsylvania,1996,9,6014550,63.9,5699735,60.5,314815,5.2
Rhode Island,1996,9,520882,65.9,494525,62.6,26357,5.1
South Carolina,1996,9,1899012,66.4,1789972,62.6,109040,5.7
South Dakota,1996,9,391854,71.6,379294,69.3,12560,3.2
Tennessee,1996,9,2779011,66.7,2635714,63.3,143297,5.2
Texas,1996,9,9765578,69.1,9229227,65.3,536351,5.5
Utah,1996,9,1049068,71.7,1013851,69.3,35217,3.4
Vermont,1996,9,326729,71.8,312498,68.7,14231,4.4
Virginia,1996,9,3450325,68.1,3301840,65.1,148485,4.3
Washington,1996,9,2913717,69.2,2747445,65.3,166272,5.7
West Virginia,1996,9,792118,55.1,733614,51.0,58504,7.4
Wisconsin,1996,9,2928299,73.9,2827328,71.3,100971,3.4
Wyoming,1996,9,255805,70.3,242970,66.8,12835,5.0
Alabama,1996,10,2109820,64.1,2003211,60.8,106609,5.1
Alaska,1996,10,309997,73.4,287523,68.1,22474,7.2
Arizona,1996,10,2301884,65.7,2172736,62.1,129148,5.6
Arkansas,1996,10,1241684,63.8,1177156,60.5,64528,5.2
California,1996,10,15522838,65.9,14433664,61.3,1089174,7.0
Los Angeles County,1996,10,4356494,65.0,4018702,59.9,337792,7.8
Colorado,1996,10,2156228,72.0,2069602,69.1,86626,4.0
Connecticut,1996,10,1755949,68.5,1664570,65.0,91379,5.2
Delaware,1996,10,391302,68.9,371161,65.3,20141,5.1
District of Columbia,1996,10,289734,64.0,266062,58.7,23672,8.2
Florida,1996,10,7242446,62.2,6869526,59.0,372920,5.1
Georgia,1996,10,3860928,68.5,3680440,65.3,180488,4.7
Hawaii,1996,10,598469,67.9,563088,63.9,35381,5.9
Idaho,1996,10,623834,70.5,590614,66.7,33220,5.3
Illinois,1996,10,6260526,68.6,5938392,65.1,322134,5.1
Indiana,1996,10,3096852,68.9,2986143,66.5,110709,3.6
Iowa,1996,10,1613564,73.4,1556330,70.8,57234,3.5
Kansas,1996,10,1375174,70.7,1316465,67.7,58709,4.3
Kentucky,1996,10,1894595,63.3,1790698,59.8,103897,5.5
Louisiana,1996,10,2001414,62.0,1875790,58.1,125624,6.3
Maine,1996,10,658876,68.3,625092,64.8,33784,5.1
Maryland,1996,10,2769061,71.5,2636344,68.1,132717,4.8
Massachusetts,1996,10,3262348,68.0,3119083,65.1,143265,4.4
Michigan,1996,10,4924303,66.7,4687127,63.5,237176,4.8
Minnesota,1996,10,2672462,75.1,2573904,72.4,98558,3.7
Mississippi,1996,10,1269092,62.4,1195569,58.8,73523,5.8
Missouri,1996,10,2912434,70.9,2773299,67.5,139135,4.8
Montana,1996,10,450171,67.2,425920,63.5,24251,5.4
Nebraska,1996,10,917729,73.4,893517,71.4,24212,2.6
Nevada,1996,10,910898,69.8,866234,66.3,44664,4.9
New Hampshire,1996,10,640437,71.3,616542,68.6,23895,3.7
New Jersey,1996,10,4225559,67.4,3974305,63.4,251254,5.9
New Mexico,1996,10,816644,63.4,756165,58.7,60479,7.4
New York,1996,10,8865107,62.2,8319379,58.4,545728,6.2
New York city,1996,10,3436557,57.4,3129314,52.3,307243,8.9
North Carolina,1996,10,3919081,68.1,3757565,65.3,161516,4.1
North Dakota,1996,10,348639,71.9,337853,69.7,10786,3.1
Ohio,1996,10,5676161,66.5,5394951,63.2,281210,5.0
Oklahoma,1996,10,1597268,64.1,1534821,61.6,62447,3.9
Oregon,1996,10,1723032,68.5,1624893,64.6,98139,5.7
Pennsylvania,1996,10,6023142,63.9,5707604,60.6,315538,5.2
Rhode Island,1996,10,522114,66.0,495130,62.6,26984,5.2
South Carolina,1996,10,1903963,66.5,1795024,62.7,108939,5.7
South Dakota,1996,10,391912,71.6,379371,69.3,12541,3.2
Tennessee,1996,10,2781322,66.7,2634775,63.1,146547,5.3
Texas,1996,10,9788916,69.1,9247692,65.3,541224,5.5
Utah,1996,10,1051344,71.7,1015799,69.3,35545,3.4
Vermont,1996,10,327061,71.9,312724,68.7,14337,4.4
Virginia,1996,10,3452625,68.0,3303569,65.1,149056,4.3
Washington,1996,10,2918883,69.2,2754351,65.3,164532,5.6
West Virginia,1996,10,792447,55.1,733544,51.0,58903,7.4
Wisconsin,1996,10,2928057,73.8,2826887,71.3,101170,3.5
Wyoming,1996,10,255906,70.4,242901,66.8,13005,5.1
Alabama,1996,11,2113270,64.1,2005595,60.8,107675,5.1
Alaska,1996,11,310169,73.5,287511,68.1,22658,7.3
Arizona,1996,11,2301360,65.5,2173399,61.9,127961,5.6
Arkansas,1996,11,1240505,63.6,1175717,60.3,64788,5.2
California,1996,11,15555852,66.0,14468388,61.3,1087464,7.0
Los Angeles County,1996,11,4363479,65.0,4027248,60.0,336231,7.7
Colorado,1996,11,2158691,72.0,2073607,69.1,85084,3.9
Connecticut,1996,11,1757192,68.5,1665146,65.0,92046,5.2
Delaware,1996,11,391546,68.9,371498,65.4,20048,5.1
District of Columbia,1996,11,289350,64.0,265853,58.8,23497,8.1
Florida,1996,11,7257425,62.2,6882913,59.0,374512,5.2
Georgia,1996,11,3873119,68.6,3688933,65.3,184186,4.8
Hawaii,1996,11,599677,68.0,563810,63.9,35867,6.0
Idaho,1996,11,625483,70.5,591980,66.7,33503,5.4
Illinois,1996,11,6260775,68.6,5939981,65.1,320794,5.1
Indiana,1996,11,3095827,68.9,2987240,66.5,108587,3.5
Iowa,1996,11,1612025,73.3,1554813,70.7,57212,3.5
Kansas,1996,11,1376099,70.6,1317432,67.6,58667,4.3
Kentucky,1996,11,1899474,63.4,1792512,59.8,106962,5.6
Louisiana,1996,11,2001962,62.0,1876862,58.1,125100,6.2
Maine,1996,11,659196,68.2,625079,64.7,34117,5.2
Maryland,1996,11,2768990,71.5,2635678,68.0,133312,4.8
Massachusetts,1996,11,3269198,68.1,3125493,65.1,143705,4.4
Michigan,1996,11,4926768,66.7,4690772,63.5,235996,4.8
Minnesota,1996,11,2670491,75.0,2573406,72.3,97085,3.6
Mississippi,1996,11,1269777,62.4,1195633,58.8,74144,5.8
Missouri,1996,11,2915579,70.9,2775547,67.5,140032,4.8
Montana,1996,11,450153,67.2,425756,63.5,24397,5.4
Nebraska,1996,11,917486,73.3,893306,71.3,24180,2.6
Nevada,1996,11,914796,69.7,870394,66.3,44402,4.9
New Hampshire,1996,11,641672,71.3,617917,68.7,23755,3.7
New Jersey,1996,11,4233437,67.5,3981783,63.5,251654,5.9
New Mexico,1996,11,816530,63.3,756660,58.7,59870,7.3
New York,1996,11,8885637,62.3,8329339,58.4,556298,6.3
New York city,1996,11,3451500,57.6,3135007,52.4,316493,9.2
North Carolina,1996,11,3927512,68.1,3766600,65.3,160912,4.1
North Dakota,1996,11,348464,71.9,337706,69.6,10758,3.1
Ohio,1996,11,5675960,66.5,5391374,63.1,284586,5.0
Oklahoma,1996,11,1599295,64.1,1535517,61.6,63778,4.0
Oregon,1996,11,1724800,68.5,1624825,64.5,99975,5.8
Pennsylvania,1996,11,6030338,64.0,5712788,60.6,317550,5.3
Rhode Island,1996,11,523278,66.1,495626,62.6,27652,5.3
South Carolina,1996,11,1908527,66.5,1799836,62.7,108691,5.7
South Dakota,1996,11,391828,71.6,379316,69.3,12512,3.2
Tennessee,1996,11,2781600,66.6,2631734,63.0,149866,5.4
Texas,1996,11,9811341,69.2,9261290,65.3,550051,5.6
Utah,1996,11,1053253,71.7,1017494,69.3,35759,3.4
Vermont,1996,11,327277,71.8,312867,68.6,14410,4.4
Virginia,1996,11,3454630,68.0,3304399,65.0,150231,4.3
Washington,1996,11,2923366,69.2,2760292,65.3,163074,5.6
West Virginia,1996,11,792653,55.1,733345,51.0,59308,7.5
Wisconsin,1996,11,2927495,73.7,2825083,71.1,102412,3.5
Wyoming,1996,11,255878,70.1,242725,66.5,13153,5.1
Alabama,1996,12,2116205,64.2,2007664,60.9,108541,5.1
Alaska,1996,12,310387,73.5,287553,68.1,22834,7.4
Arizona,1996,12,2299423,65.3,2173660,61.7,125763,5.5
Arkansas,1996,12,1239275,63.5,1174469,60.2,64806,5.2
California,1996,12,15587392,66.0,14503984,61.4,1083408,7.0
Los Angeles County,1996,12,4370159,65.0,4035846,60.1,334313,7.6
Colorado,1996,12,2163231,72.0,2079715,69.2,83516,3.9
Connecticut,1996,12,1757704,68.6,1665438,65.0,92266,5.2
Delaware,1996,12,391512,68.8,371847,65.3,19665,5.0
District of Columbia,1996,12,288761,63.9,265472,58.8,23289,8.1
Florida,1996,12,7270824,62.2,6895033,59.0,375791,5.2
Georgia,1996,12,3883735,68.7,3697120,65.4,186615,4.8
Hawaii,1996,12,600662,68.0,564450,63.9,36212,6.0
Idaho,1996,12,626612,70.5,592965,66.7,33647,5.4
Illinois,1996,12,6262090,68.6,5941826,65.1,320264,5.1
Indiana,1996,12,3095874,68.8,2988733,66.5,107141,3.5
Iowa,1996,12,1609602,73.2,1552659,70.6,56943,3.5
Kansas,1996,12,1376638,70.6,1318336,67.6,58302,4.2
Kentucky,1996,12,1902980,63.5,1793932,59.9,109048,5.7
Louisiana,1996,12,2001668,61.9,1877367,58.1,124301,6.2
Maine,1996,12,659368,68.2,624688,64.6,34680,5.3
Maryland,1996,12,2768191,71.4,2634273,68.0,133918,4.8
Massachusetts,1996,12,3276203,68.2,3132290,65.2,143913,4.4
Michigan,1996,12,4928399,66.7,4694532,63.6,233867,4.7
Minnesota,1996,12,2668540,74.9,2572976,72.2,95564,3.6
Mississippi,1996,12,1270328,62.4,1195760,58.7,74568,5.9
Missouri,1996,12,2918140,71.0,2778392,67.6,139748,4.8
Montana,1996,12,450052,67.1,425445,63.4,24607,5.5
Nebraska,1996,12,917197,73.2,893175,71.3,24022,2.6
Nevada,1996,12,918574,69.7,874636,66.4,43938,4.8
New Hampshire,1996,12,642930,71.4,619325,68.7,23605,3.7
New Jersey,1996,12,4239388,67.6,3989108,63.6,250280,5.9
New Mexico,1996,12,816265,63.2,757185,58.7,59080,7.2
New York,1996,12,8906168,62.4,8338342,58.4,567826,6.4
New York city,1996,12,3465943,57.8,3140304,52.4,325639,9.4
